"","LandUse","date","ndvi_mean","Stot_per_LU","ndvi_mean_interp"
"1047","Urbain",2015-11-13,NA,NA,0.550257987185678
"1048","Urbain",2015-11-14,NA,NA,0.536990469998577
"1049","Urbain",2015-11-15,NA,NA,0.523722952811477
"1050","Urbain",2015-11-16,NA,NA,0.510455435624377
"1051","Urbain",2015-11-17,NA,NA,0.497187918437277
"1052","Urbain",2015-11-18,0.483920401250176,1209849.278,0.483920401250176
"1053","Urbain",2015-11-19,NA,NA,0.501951089053743
"1054","Urbain",2015-11-20,NA,NA,0.51998177685731
"1055","Urbain",2015-11-21,NA,NA,0.538012464660876
"1056","Urbain",2015-11-22,NA,NA,0.556043152464443
"1057","Urbain",2015-11-23,NA,NA,0.57407384026801
"1058","Urbain",2015-11-24,NA,NA,0.592104528071576
"1059","Urbain",2015-11-25,NA,NA,0.610135215875143
"1060","Urbain",2015-11-26,NA,NA,0.62816590367871
"1061","Urbain",2015-11-27,0.646196591482276,1209849.278,0.646196591482276
"1062","Urbain",2015-11-28,NA,NA,0.642126466546775
"1063","Urbain",2015-11-29,NA,NA,0.638056341611273
"1064","Urbain",2015-11-30,NA,NA,0.633986216675771
"1065","Urbain",2015-12-01,NA,NA,0.629916091740269
"1066","Urbain",2015-12-02,NA,NA,0.625845966804767
"1067","Urbain",2015-12-03,NA,NA,0.621775841869265
"1068","Urbain",2015-12-04,NA,NA,0.617705716933763
"1069","Urbain",2015-12-05,NA,NA,0.613635591998262
"1070","Urbain",2015-12-06,NA,NA,0.60956546706276
"1071","Urbain",2015-12-07,NA,NA,0.605495342127258
"1072","Urbain",2015-12-08,NA,NA,0.601425217191756
"1073","Urbain",2015-12-09,NA,NA,0.597355092256254
"1074","Urbain",2015-12-10,NA,NA,0.593284967320752
"1075","Urbain",2015-12-11,NA,NA,0.58921484238525
"1076","Urbain",2015-12-12,NA,NA,0.585144717449748
"1077","Urbain",2015-12-13,NA,NA,0.581074592514247
"1078","Urbain",2015-12-14,NA,NA,0.577004467578745
"1079","Urbain",2015-12-15,NA,NA,0.572934342643243
"1080","Urbain",2015-12-16,NA,NA,0.568864217707741
"1081","Urbain",2015-12-17,NA,NA,0.564794092772239
"1082","Urbain",2015-12-18,NA,NA,0.560723967836737
"1083","Urbain",2015-12-19,NA,NA,0.556653842901235
"1084","Urbain",2015-12-20,0.552583717965734,1209849.278,0.552583717965734
"1085","Urbain",2015-12-21,NA,NA,0.554726319297536
"1086","Urbain",2015-12-22,NA,NA,0.556868920629338
"1087","Urbain",2015-12-23,NA,NA,0.559011521961141
"1088","Urbain",2015-12-24,NA,NA,0.561154123292943
"1089","Urbain",2015-12-25,NA,NA,0.563296724624746
"1090","Urbain",2015-12-26,NA,NA,0.565439325956548
"1091","Urbain",2015-12-27,NA,NA,0.567581927288351
"1092","Urbain",2015-12-28,NA,NA,0.569724528620153
"1093","Urbain",2015-12-29,0.571867129951956,1209849.278,0.571867129951956
"1094","Urbain",2015-12-30,NA,NA,0.571867129951956
"1095","Urbain",2015-12-31,NA,NA,0.571867129951956
"1096","Semi-naturelle mixte",2015-01-01,NA,NA,0.50300711528915
"1097","Semi-naturelle mixte",2015-01-02,NA,NA,0.50300711528915
"1098","Semi-naturelle mixte",2015-01-03,NA,NA,0.50300711528915
"1099","Semi-naturelle mixte",2015-01-04,NA,NA,0.50300711528915
"1100","Semi-naturelle mixte",2015-01-05,NA,NA,0.50300711528915
"1101","Semi-naturelle mixte",2015-01-06,NA,NA,0.50300711528915
"1102","Semi-naturelle mixte",2015-01-07,NA,NA,0.50300711528915
"1103","Semi-naturelle mixte",2015-01-08,NA,NA,0.50300711528915
"1104","Semi-naturelle mixte",2015-01-09,NA,NA,0.50300711528915
"1105","Semi-naturelle mixte",2015-01-10,NA,NA,0.50300711528915
"1106","Semi-naturelle mixte",2015-01-11,NA,NA,0.50300711528915
"1107","Semi-naturelle mixte",2015-01-12,NA,NA,0.50300711528915
"1108","Semi-naturelle mixte",2015-01-13,NA,NA,0.50300711528915
"1109","Semi-naturelle mixte",2015-01-14,NA,NA,0.50300711528915
"1110","Semi-naturelle mixte",2015-01-15,NA,NA,0.50300711528915
"1111","Semi-naturelle mixte",2015-01-16,NA,NA,0.50300711528915
"1112","Semi-naturelle mixte",2015-01-17,NA,NA,0.50300711528915
"1113","Semi-naturelle mixte",2015-01-18,0.50300711528915,811252.13,0.50300711528915
"1114","Semi-naturelle mixte",2015-01-19,NA,NA,0.471862557172138
"1115","Semi-naturelle mixte",2015-01-20,NA,NA,0.440717999055125
"1116","Semi-naturelle mixte",2015-01-21,NA,NA,0.409573440938113
"1117","Semi-naturelle mixte",2015-01-22,NA,NA,0.378428882821101
"1118","Semi-naturelle mixte",2015-01-23,NA,NA,0.347284324704089
"1119","Semi-naturelle mixte",2015-01-24,NA,NA,0.316139766587077
"1120","Semi-naturelle mixte",2015-01-25,NA,NA,0.284995208470065
"1121","Semi-naturelle mixte",2015-01-26,NA,NA,0.253850650353053
"1122","Semi-naturelle mixte",2015-01-27,NA,NA,0.222706092236041
"1123","Semi-naturelle mixte",2015-01-28,NA,NA,0.191561534119028
"1124","Semi-naturelle mixte",2015-01-29,NA,NA,0.160416976002016
"1125","Semi-naturelle mixte",2015-01-30,NA,NA,0.129272417885004
"1126","Semi-naturelle mixte",2015-01-31,NA,NA,0.0981278597679921
"1127","Semi-naturelle mixte",2015-02-01,NA,NA,0.06698330165098
"1128","Semi-naturelle mixte",2015-02-02,NA,NA,0.0358387435339678
"1129","Semi-naturelle mixte",2015-02-03,0.00469418541695571,811252.13,0.00469418541695571
"1130","Semi-naturelle mixte",2015-02-04,NA,NA,0.0651781460648542
"1131","Semi-naturelle mixte",2015-02-05,NA,NA,0.125662106712753
"1132","Semi-naturelle mixte",2015-02-06,NA,NA,0.186146067360651
"1133","Semi-naturelle mixte",2015-02-07,NA,NA,0.24663002800855
"1134","Semi-naturelle mixte",2015-02-08,NA,NA,0.307113988656448
"1135","Semi-naturelle mixte",2015-02-09,NA,NA,0.367597949304347
"1136","Semi-naturelle mixte",2015-02-10,NA,NA,0.428081909952245
"1137","Semi-naturelle mixte",2015-02-11,NA,NA,0.488565870600144
"1138","Semi-naturelle mixte",2015-02-12,0.549049831248042,811252.13,0.549049831248042
"1139","Semi-naturelle mixte",2015-02-13,NA,NA,0.541216484408496
